Date,"Aterno tre ponti - Idrometro - Val (m)","Aterno a L'Aquila - Idrometro - Val (m)","L'Aquila S. Elia - Termometro aria - Val (°C)","L'Aquila S. Elia - Pluviometro - Val (mm)","Pizzoli - Termometro aria - Val (°C)","Pizzoli - Pluviometro - Val (mm)"
"2023-05-19 04:00",,0.62,12.2,0.0,10.9,0.0
"2023-05-19 04:15",,0.62,12.1,0.0,10.9,0.0
"2023-05-19 04:30",,0.63,12.0,0.0,10.9,0.0
"2023-05-19 04:45",,0.62,11.9,0.0,10.9,0.0
"2023-05-19 05:00",,0.62,11.9,0.0,10.8,0.0
"2023-05-19 05:15",,0.62,11.9,0.0,10.8,0.0
"2023-05-19 05:30",,0.61,12.0,0.0,10.9,0.0
"2023-05-19 05:45",,0.61,12.2,0.0,11.0,0.0
"2023-05-19 06:00",,0.62,12.3,0.0,11.1,0.0
"2023-05-19 06:15",,0.61,12.6,0.0,11.4,0.0
"2023-05-19 06:30",,0.62,12.8,0.0,11.8,0.0
"2023-05-19 06:45",,0.60,13.0,0.0,12.0,0.0
"2023-05-19 07:00",,0.61,13.1,0.0,12.1,0.0
"2023-05-19 07:15",,0.61,13.4,0.0,12.3,0.0
"2023-05-19 07:30",,0.60,13.3,0.0,12.8,0.0
"2023-05-19 07:45",,0.62,13.8,0.0,13.2,0.0
"2023-05-19 08:00",,0.60,14.1,0.0,13.5,0.0
"2023-05-19 08:15",,0.61,14.3,0.0,13.6,0.0
"2023-05-19 08:30",,0.60,14.2,0.2,13.2,0.0
"2023-05-19 08:45",,0.59,14.7,0.0,13.3,0.0
"2023-05-19 09:00",,0.61,14.8,0.0,13.3,0.0
"2023-05-19 09:15",,0.60,15.2,0.0,14.0,0.0
"2023-05-19 09:30",,0.61,15.3,0.0,14.4,0.0
"2023-05-19 09:45",,0.60,16.0,0.0,15.8,0.0
"2023-05-19 10:00",,0.61,16.2,0.0,15.6,0.0
"2023-05-19 10:15",,0.60,16.5,0.0,14.9,0.0
"2023-05-19 10:30",,0.60,16.5,0.0,14.4,0.0
"2023-05-19 10:45",,0.59,16.4,0.0,14.4,0.0
"2023-05-19 11:00",,0.60,16.2,0.0,14.6,0.0
"2023-05-19 11:15",,0.59,16.4,0.0,14.9,0.0
"2023-05-19 11:30",,0.58,16.9,0.2,15.7,0.0
"2023-05-19 11:45",,0.60,17.0,0.0,16.0,0.0
"2023-05-19 12:00",,0.59,16.6,0.0,16.1,0.0
"2023-05-19 12:15",,0.59,17.0,0.0,15.7,0.0
"2023-05-19 12:30",,0.58,17.8,0.0,16.3,0.0
"2023-05-19 12:45",,0.58,18.2,0.0,17.2,0.0
"2023-05-19 13:00",,0.59,18.7,0.0,18.0,0.0
"2023-05-19 13:15",,0.58,18.8,0.0,19.6,0.0
"2023-05-19 13:30",,0.58,18.8,0.0,18.4,0.0
"2023-05-19 13:45",,0.58,19.6,0.0,18.4,0.0
"2023-05-19 14:00",,0.57,19.3,0.0,19.2,0.0
"2023-05-19 14:15",,0.57,18.9,0.0,20.5,0.0
"2023-05-19 14:30",,0.58,18.8,0.0,20.1,0.0
"2023-05-19 14:45",,0.58,18.4,0.0,19.3,0.0
"2023-05-19 15:00",,0.58,18.3,0.0,17.1,0.0
"2023-05-19 15:15",,0.57,17.9,0.0,16.8,0.0
"2023-05-19 15:30",,0.56,17.6,0.0,17.0,0.0
"2023-05-19 15:45",,0.56,17.3,0.0,16.9,0.0
"2023-05-19 16:00",,0.57,16.8,0.0,16.9,0.0
"2023-05-19 16:15",,0.56,16.7,0.0,16.8,0.0
"2023-05-19 16:30",,0.56,16.5,0.0,16.8,0.0
"2023-05-19 16:45",,0.56,16.2,0.0,16.6,0.0
"2023-05-19 17:00",,0.57,16.0,0.0,15.8,0.0
"2023-05-19 17:15",,0.56,16.0,0.0,15.5,0.0
"2023-05-19 17:30",,0.56,15.7,0.0,15.4,0.0
"2023-05-19 17:45",,0.56,15.5,0.0,15.1,0.0
"2023-05-19 18:00",,0.56,15.3,0.0,14.9,0.0
"2023-05-19 18:15",,0.56,15.2,0.0,14.7,0.0
"2023-05-19 18:30",,0.56,15.1,0.0,14.3,0.0
"2023-05-19 18:45",,0.56,14.9,0.0,13.9,0.0
"2023-05-19 19:00",,0.55,14.8,0.0,13.5,0.2
"2023-05-19 19:15",,0.56,14.6,0.0,13.1,0.2
"2023-05-19 19:30",,0.56,14.4,0.0,12.8,0.0
"2023-05-19 19:45",,0.56,14.4,0.0,12.7,0.0
"2023-05-19 20:00",,0.55,14.2,0.0,12.6,0.0
"2023-05-19 20:15",,0.55,14.1,0.0,12.4,0.0
"2023-05-19 20:30",,0.55,13.9,0.0,12.4,0.0
"2023-05-19 20:45",,0.56,13.8,0.0,12.4,0.0
"2023-05-19 21:00",,0.55,13.7,0.0,12.2,0.0
"2023-05-19 21:15",,0.55,13.6,0.0,12.1,0.0
"2023-05-19 21:30",,0.54,13.5,0.0,12.1,0.0
"2023-05-19 21:45",,0.53,13.5,0.0,12.0,0.0
"2023-05-19 22:00",,0.54,13.4,0.0,12.0,0.0
"2023-05-19 22:15",,0.55,13.3,0.0,12.0,0.0
"2023-05-19 22:30",,0.54,13.0,0.2,12.1,0.0
"2023-05-19 22:45",,0.54,12.9,0.0,12.1,0.0
"2023-05-19 23:00",,0.54,12.9,0.0,12.1,0.2
"2023-05-19 23:15",,0.54,12.9,0.0,11.9,0.0
"2023-05-19 23:30",,0.54,12.9,0.0,11.8,0.0
"2023-05-19 23:45",,0.55,12.8,0.0,11.8,0.0
"2023-05-20 00:00",,0.54,12.8,0.2,11.8,0.0
"2023-05-20 00:15",,0.54,12.8,0.0,11.7,0.0
"2023-05-20 00:30",,0.54,12.8,0.0,11.6,0.2
"2023-05-20 00:45",,0.53,12.9,0.0,11.6,0.0
"2023-05-20 01:00",,0.53,13.0,0.0,11.7,0.0
"2023-05-20 01:15",,0.54,12.9,0.0,11.6,0.0
"2023-05-20 01:30",,0.53,12.9,0.0,11.6,0.0
"2023-05-20 01:45",,0.53,12.9,0.0,11.6,0.0
"2023-05-20 02:00",,0.54,13.0,0.0,11.5,0.0
"2023-05-20 02:15",,0.53,13.1,0.0,11.6,0.0
"2023-05-20 02:30",,0.53,13.2,0.2,11.6,0.0
"2023-05-20 02:45",,0.53,13.0,0.2,11.6,0.2
"2023-05-20 03:00",,0.53,12.8,0.6,11.6,0.0
"2023-05-20 03:15",,0.53,12.6,0.6,11.6,0.8
"2023-05-20 03:30",,0.53,12.6,0.6,11.5,0.6
"2023-05-20 03:45",,0.54,12.4,0.2,11.4,0.4
"2023-05-20 04:00",,0.56,12.3,0.0,11.3,0.2
"2023-05-20 04:15",,0.57,12.3,0.0,11.2,0.0
"2023-05-20 04:30",,0.57,12.3,0.2,11.2,0.2
"2023-05-20 04:45",,0.58,12.3,0.2,11.1,0.0
"2023-05-20 05:00",,0.57,12.2,0.2,11.1,0.0
"2023-05-20 05:15",,0.56,12.1,0.2,11.1,0.0
"2023-05-20 05:30",,0.55,12.0,0.0,11.1,0.0
"2023-05-20 05:45",,0.56,12.2,0.2,11.1,0.2
"2023-05-20 06:00",,0.55,12.2,0.0,11.1,0.2
"2023-05-20 06:15",,0.55,12.1,0.2,11.1,0.0
"2023-05-20 06:30",,0.56,12.1,0.0,11.0,0.0
"2023-05-20 06:45",,0.56,12.1,0.0,11.0,0.0
"2023-05-20 07:00",,0.56,12.3,0.0,11.0,0.0
"2023-05-20 07:15",,0.55,12.3,0.0,11.1,0.0
"2023-05-20 07:30",,0.55,12.5,0.0,11.1,0.0
"2023-05-20 07:45",,0.56,12.5,0.0,11.1,0.0
"2023-05-20 08:00",,0.55,12.4,0.0,11.1,0.0
"2023-05-20 08:15",,0.56,12.4,0.0,11.3,0.0
"2023-05-20 08:30",,0.55,12.5,0.0,11.3,0.0
"2023-05-20 08:45",,0.55,12.6,0.0,11.4,0.0
"2023-05-20 09:00",,0.55,12.6,0.4,11.5,0.4
"2023-05-20 09:15",,0.56,12.6,0.2,11.4,0.4
"2023-05-20 09:30",,0.55,12.8,0.2,11.4,1.0
"2023-05-20 09:45",,0.57,12.8,0.4,11.7,0.6
"2023-05-20 10:00",,0.58,13.1,0.0,12.7,0.0
"2023-05-20 10:15",,0.59,13.5,0.0,12.6,0.0
"2023-05-20 10:30",,0.60,13.7,0.0,12.5,0.2
"2023-05-20 10:45",,0.60,13.7,0.0,12.5,0.0
"2023-05-20 11:00",,0.60,13.8,0.0,12.7,0.0
"2023-05-20 11:15",,0.59,13.9,0.0,13.0,0.0
"2023-05-20 11:30",,0.58,13.6,0.2,13.1,0.0
"2023-05-20 11:45",,0.60,13.7,0.2,13.2,0.0
"2023-05-20 12:00",,0.60,14.4,0.0,13.3,0.6
"2023-05-20 12:15",,0.60,14.8,0.0,13.2,0.0
"2023-05-20 12:30",,0.60,14.9,0.0,13.6,0.0
"2023-05-20 12:45",,0.61,14.8,0.0,13.6,0.0
"2023-05-20 13:00",,0.60,14.9,0.0,13.4,0.0
"2023-05-20 13:15",,0.60,14.8,0.0,13.9,0.0
"2023-05-20 13:30",,0.59,14.8,0.0,14.1,0.0
"2023-05-20 13:45",,0.59,14.7,0.0,13.9,0.0
"2023-05-20 14:00",,0.59,14.6,0.0,14.0,0.0
"2023-05-20 14:15",,0.60,14.7,0.0,13.9,0.0
"2023-05-20 14:30",,0.59,14.4,0.0,13.5,0.0
"2023-05-20 14:45",,0.59,14.2,0.0,13.4,0.0
"2023-05-20 15:00",,0.60,14.1,0.0,13.2,0.0
"2023-05-20 15:15",,0.59,14.1,0.0,13.2,0.0
"2023-05-20 15:30",,0.60,14.1,0.0,12.9,0.0
"2023-05-20 15:45",,0.59,14.4,0.0,12.9,0.0
"2023-05-20 16:00",,0.59,14.2,0.2,12.8,0.0
"2023-05-20 16:15",,0.59,13.8,0.4,12.9,0.0
"2023-05-20 16:30",,0.58,13.7,0.6,13.2,0.2
"2023-05-20 16:45",,0.59,13.6,0.2,13.0,0.2
"2023-05-20 17:00",,0.59,13.5,0.0,13.0,0.0
"2023-05-20 17:15",,0.60,13.5,0.2,12.8,0.2
"2023-05-20 17:30",,0.61,13.5,0.0,12.6,0.2
"2023-05-20 17:45",,0.61,13.5,0.0,12.5,0.0
"2023-05-20 18:00",,0.62,13.5,0.2,12.5,0.0
"2023-05-20 18:15",,0.61,13.4,0.0,12.5,0.0
"2023-05-20 18:30",,0.60,13.4,0.2,12.5,0.0
"2023-05-20 18:45",,0.61,13.4,0.0,12.4,0.0
"2023-05-20 19:00",,0.59,13.3,0.0,12.2,0.0
"2023-05-20 19:15",,0.59,13.3,0.0,12.1,0.0
"2023-05-20 19:30",,0.58,13.0,0.0,12.0,0.0
"2023-05-20 19:45",,0.58,12.7,0.0,11.8,0.2
"2023-05-20 20:00",,0.58,12.5,0.0,11.7,0.0
"2023-05-20 20:15",,0.58,12.4,0.0,11.6,0.0
"2023-05-20 20:30",,0.59,12.3,0.0,11.6,0.0
"2023-05-20 20:45",,0.58,12.3,0.2,11.5,0.0
"2023-05-20 21:00",,0.57,12.3,0.0,11.4,0.2
"2023-05-20 21:15",,0.57,12.2,0.2,11.2,0.0
"2023-05-20 21:30",,0.57,12.0,0.0,11.1,0.2
"2023-05-20 21:45",,0.57,12.0,0.2,10.9,0.0
"2023-05-20 22:00",,0.57,11.9,0.0,10.8,0.2
"2023-05-20 22:15",,0.58,11.8,0.2,10.8,0.2
"2023-05-20 22:30",,0.56,11.7,0.0,10.7,0.0
"2023-05-20 22:45",,0.57,11.8,0.2,10.6,0.0
"2023-05-20 23:00",,0.57,11.6,0.0,10.6,0.2
"2023-05-20 23:15",,0.56,11.6,0.0,10.5,0.0
"2023-05-20 23:30",,0.57,11.6,0.0,10.4,0.0
"2023-05-20 23:45",,0.56,11.6,0.0,10.5,0.0
"2023-05-21 00:00",,0.57,11.6,0.0,10.5,0.0
"2023-05-21 00:15",,0.57,11.8,0.0,10.6,0.0
"2023-05-21 00:30",,0.57,11.9,0.0,10.6,0.0
"2023-05-21 00:45",,0.56,12.0,0.0,10.6,0.0
"2023-05-21 01:00",,0.56,12.1,0.0,10.7,0.0
"2023-05-21 01:15",,0.56,12.1,0.0,10.7,0.0
"2023-05-21 01:30",,0.56,12.2,0.0,10.7,0.0
"2023-05-21 01:45",,0.56,12.2,0.0,10.4,0.0
"2023-05-21 02:00",,0.55,12.2,0.0,10.5,0.0
"2023-05-21 02:15",,0.56,12.2,0.0,10.7,0.0
"2023-05-21 02:30",,0.56,12.1,0.0,10.8,0.0
"2023-05-21 02:45",,0.55,12.0,0.0,10.8,0.0
"2023-05-21 03:00",,0.54,11.9,0.0,10.7,0.0
"2023-05-21 03:15",,0.55,11.9,0.0,10.7,0.0
"2023-05-21 03:30",,0.54,12.0,0.2,10.7,0.0
"2023-05-21 03:45",,0.54,12.1,0.0,10.5,0.0
"2023-05-21 04:00",,0.55,12.2,0.0,10.5,0.0
"2023-05-21 04:15",,0.54,12.3,0.0,10.4,0.0
"2023-05-21 04:30",,0.54,12.2,0.0,10.3,0.0
"2023-05-21 04:45",,0.53,12.1,0.0,10.3,0.0
"2023-05-21 05:00",,0.54,12.0,0.0,10.4,0.0
"2023-05-21 05:15",,0.54,12.0,0.0,10.3,0.0
"2023-05-21 05:30",,0.54,11.9,0.0,10.4,0.0
"2023-05-21 05:45",,0.54,12.1,0.0,10.7,0.0
"2023-05-21 06:00",,0.54,12.6,0.0,11.1,0.0
"2023-05-21 06:15",,0.54,12.8,0.0,11.6,0.0
"2023-05-21 06:30",,0.54,13.4,0.0,12.0,0.0
"2023-05-21 06:45",,0.54,14.1,0.0,12.6,0.0
"2023-05-21 07:00",,0.54,14.4,0.0,13.1,0.0
"2023-05-21 07:15",,0.53,14.5,0.0,13.3,0.0
"2023-05-21 07:30",,0.54,14.9,0.0,13.5,0.0
"2023-05-21 07:45",,0.54,15.6,0.0,13.7,0.0
"2023-05-21 08:00",,0.54,16.0,0.0,15.0,0.0
"2023-05-21 08:15",,0.54,16.8,0.0,15.8,0.0
"2023-05-21 08:30",,0.54,17.7,0.0,16.7,0.0
"2023-05-21 08:45",,0.53,18.4,0.0,17.1,0.0
"2023-05-21 09:00",,0.53,18.4,0.0,16.4,0.0
"2023-05-21 09:15",,0.53,19.0,0.0,16.3,0.0
"2023-05-21 09:30",,0.53,19.5,0.0,16.8,0.0
"2023-05-21 09:45",,0.54,19.7,0.0,17.6,0.0
"2023-05-21 10:00",,0.54,20.3,0.0,19.4,0.0
"2023-05-21 10:15",,0.52,20.5,0.0,19.6,0.0
"2023-05-21 10:30",,0.52,20.4,0.0,18.8,0.0
"2023-05-21 10:45",,0.53,20.3,0.0,18.4,0.0
"2023-05-21 11:00",,0.53,19.7,0.0,19.1,0.0
"2023-05-21 11:15",,0.53,19.1,0.0,18.3,0.0
"2023-05-21 11:30",,0.52,19.1,0.0,18.0,0.0
"2023-05-21 11:45",,0.52,18.7,0.0,18.3,0.0
"2023-05-21 12:00",,0.51,18.2,0.0,17.6,0.0
"2023-05-21 12:15",,0.52,18.5,0.0,17.5,0.0
"2023-05-21 12:30",,0.52,19.2,0.0,17.9,0.0
"2023-05-21 12:45",,0.52,20.2,0.0,18.6,0.0
"2023-05-21 13:00",,0.52,20.2,0.0,20.1,0.0
"2023-05-21 13:15",,0.52,20.8,0.0,20.1,0.0
"2023-05-21 13:30",,0.51,20.9,0.0,19.3,0.0
"2023-05-21 13:45",,0.51,20.7,0.0,20.2,0.0
"2023-05-21 14:00",,0.50,20.9,0.0,21.2,0.0
"2023-05-21 14:15",,0.51,21.0,0.0,21.2,0.0
"2023-05-21 14:30",,0.51,20.9,0.0,21.9,0.0
"2023-05-21 14:45",,0.50,20.9,0.0,20.7,0.0
"2023-05-21 15:00",,0.50,20.8,0.0,20.8,0.0
"2023-05-21 15:15",,0.50,20.9,0.0,20.5,0.0
"2023-05-21 15:30",,0.50,20.7,0.0,21.4,0.0
"2023-05-21 15:45",,0.50,21.3,0.0,21.8,0.0
"2023-05-21 16:00",,0.50,20.9,0.0,21.1,0.0
"2023-05-21 16:15",,0.50,20.9,0.0,20.9,0.0
"2023-05-21 16:30",,0.50,20.4,0.0,21.7,0.0
"2023-05-21 16:45",,0.49,20.2,0.0,19.8,0.0
"2023-05-21 17:00",,0.50,20.2,0.0,18.0,0.0
"2023-05-21 17:15",,0.50,19.4,0.0,17.8,0.0
"2023-05-21 17:30",,0.50,19.7,0.0,17.4,0.0
"2023-05-21 17:45",,0.49,19.0,0.0,16.9,0.0
"2023-05-21 18:00",,0.50,18.7,0.0,15.5,0.6
"2023-05-21 18:15",,0.50,18.8,0.0,14.8,0.0
"2023-05-21 18:30",,0.48,18.5,0.0,14.4,0.2
"2023-05-21 18:45",,0.48,18.1,0.0,14.2,0.0
"2023-05-21 19:00",,0.49,18.0,0.0,13.7,0.0
"2023-05-21 19:15",,0.47,17.6,0.0,13.3,0.0
"2023-05-21 19:30",,0.48,17.2,0.0,13.1,0.0
"2023-05-21 19:45",,0.48,16.9,0.0,13.3,0.0
"2023-05-21 20:00",,0.48,16.6,0.0,13.2,0.0
"2023-05-21 20:15",,0.49,16.3,0.0,14.1,0.0
"2023-05-21 20:30",,0.49,16.2,0.0,14.0,0.0
"2023-05-21 20:45",,0.49,16.5,0.0,13.6,0.4
"2023-05-21 21:00",,0.49,16.0,0.0,13.6,0.0
"2023-05-21 21:15",,0.47,15.8,0.0,13.6,0.0
"2023-05-21 21:30",,0.48,15.6,0.0,13.2,0.0
"2023-05-21 21:45",,0.47,15.5,0.0,12.7,0.0
"2023-05-21 22:00",,0.49,15.6,0.0,12.8,0.0
"2023-05-21 22:15",,0.48,15.4,0.0,12.8,0.0
"2023-05-21 22:30",,0.48,14.8,0.0,12.7,0.0
"2023-05-21 22:45",,0.48,14.7,0.0,12.7,0.0
"2023-05-21 23:00",,0.48,14.4,0.0,12.5,0.0
"2023-05-21 23:15",,0.48,13.8,0.0,12.3,0.0
"2023-05-21 23:30",,0.48,13.4,0.2,12.4,0.0
"2023-05-21 23:45",,0.47,13.2,0.0,12.3,0.0
"2023-05-22 00:00",,0.46,13.0,0.2,12.2,0.0
"2023-05-22 00:15",,0.47,13.0,0.0,12.2,0.0
"2023-05-22 00:30",,0.47,13.0,0.0,12.0,0.2
"2023-05-22 00:45",,0.47,13.2,0.0,12.0,0.0
"2023-05-22 01:00",,0.48,13.1,0.0,11.8,0.0
"2023-05-22 01:15",,0.48,13.1,0.0,11.7,0.0
"2023-05-22 01:30",,0.47,13.0,0.0,11.8,0.0
"2023-05-22 01:45",,0.48,13.0,0.2,11.7,0.2
"2023-05-22 02:00",,0.48,12.9,0.2,11.6,0.2
"2023-05-22 02:15",,0.47,12.8,0.0,11.4,0.0
"2023-05-22 02:30",,0.47,12.8,0.0,11.2,0.0
"2023-05-22 02:45",,0.48,12.8,0.0,11.1,0.0
"2023-05-22 03:00",,0.47,12.6,0.0,11.1,0.0
"2023-05-22 03:15",,0.48,12.5,0.0,10.8,0.0
"2023-05-22 03:30",,0.47,12.4,0.0,10.8,0.0
"2023-05-22 03:45",,0.48,12.4,0.2,10.6,0.0
"2023-05-22 04:00",,0.48,12.2,0.0,10.4,0.0
"2023-05-22 04:15",,0.47,12.0,0.0,10.1,0.0
"2023-05-22 04:30",,0.47,11.9,0.0,9.7,0.0
"2023-05-22 04:45",,0.47,12.0,0.0,9.6,0.0
"2023-05-22 05:00",,0.47,11.7,0.0,9.3,0.0
"2023-05-22 05:15",,0.47,11.5,0.0,9.5,0.0
"2023-05-22 05:30",,0.47,11.4,0.0,9.4,0.0
"2023-05-22 05:45",,0.47,11.4,0.0,9.5,0.0
"2023-05-22 06:00",,0.48,11.6,0.0,9.9,0.0
"2023-05-22 06:15",,0.47,11.6,0.0,10.5,0.0
"2023-05-22 06:30",,0.48,12.3,0.0,11.2,0.0
"2023-05-22 06:45",,0.48,13.0,0.0,12.4,0.0
"2023-05-22 07:00",,0.48,13.8,0.0,13.5,0.0
"2023-05-22 07:15",,0.48,14.6,0.0,14.3,0.2
"2023-05-22 07:30",,0.47,15.2,0.0,15.4,0.0
